"","x"
"Obj","Sugar"
"GFDL.q100.location","2791.31217902687"
"GFDL.q100.90LB","1997.61807858476"
"GFDL.q100.90UB","2990.90580946383"
"GFDL.q500.location","3005.22883500586"
"GFDL.q500.90LB","2025.82388319211"
"GFDL.q500.90UB","3284.36672106604"
"CCSM.q100.location","2791.31217902687"
"CCSM.q100.90LB","2021.96348828976"
"CCSM.q100.90UB","3036.13759261272"
"CCSM.q500.location","3005.22883500586"
"CCSM.q500.90LB","2029.00039528243"
"CCSM.q500.90UB","3284.30244258311"
