,Hydropower,Environment,Recession,Sugar,Cotton,Uncontrolled,Year,Dummy
2060,328.5799999999999,1114.0,365.94000000000005,831.9,0.0,440.35,,
2061,0.0,51.01,149.32999999999998,0.0,0.0,333.87,,
2062,0.0,0.0,0.0,1.0774,0.0,28.781,,
2063,66.53,460.25,142.684,519.47,0.0,1042.0,,
2064,0.0,473.79999999999995,150.37,488.23,0.0,768.7,,
2065,0.0,2.106,113.90899999999999,0.0,0.0,144.20000000000002,,
2066,0.0,0.0,0.0,0.0,0.0,0.0,,
2067,0.0,40.674,226.73999999999998,418.40999999999997,0.0,197.9,,
2068,0.0,10.5872,22.6409,0.36,0.0,178.67000000000002,,
2069,0.0,851.7,183.76,513.81,0.0,780.8,,
2070,0.0,253.02,0.1148,3.1229600000000004,0.0,167.47999999999996,,
2071,1445.5,1563.7,825.31,3362.1,34.563,2108.7000000000003,,
2072,349.58,1952.2999999999997,1743.1,1081.0,190.05,1273.0,,
2073,0.0,1173.4,313.68000000000006,730.22,0.0,852.7,,
2074,0.0,768.63,183.95000000000002,604.84,0.0,498.66999999999996,,
2075,0.0,427.23,230.02999999999997,814.9,0.0,188.43999999999997,,
2076,0.0,547.6800000000001,60.681999999999995,58.858000000000004,0.0,276.76,,
2077,409.99,788.99,448.03,392.57,0.0,1051.8,,
2078,0.0,553.55,81.221,217.05,0.0,571.6800000000001,,
2079,1034.8000000000002,1228.7,403.75,713.85,0.0,1554.9,,
2080,0.0,517.53,481.28999999999996,710.81,0.0,583.52,,
2081,0.0,0.5149330000000001,22.209,32.784,0.0,229.81,,
2082,1541.7000000000003,2395.6000000000004,673.7099999999999,3246.3999999999996,491.32,2028.0,,
2083,0.0,923.2,178.79,2404.6000000000004,0.0,924.8,,
2084,444.08000000000004,1742.2,679.08,1385.7,5.442,1382.1999999999998,,
2085,0.0,678.4200000000001,157.35000000000002,307.55,0.0,617.92,,
2086,0.0,511.18999999999994,178.99000000000004,0.0,0.0,423.4,,
2087,0.0,62.603,136.98000000000002,68.57900000000001,0.0,90.5,,
2088,0.0,0.0,0.0,0.0,0.0,0.0,,
2089,0.0,0.0,0.0,0.0,0.0,0.0,,
2090,0.0,0.0,0.0,0.0,0.0,0.0,,
2091,0.0,75.096,101.853,0.6457999999999999,0.0,147.67,,
2092,0.0,177.57,105.45699999999998,572.85,0.0,225.31,,
2093,0.0,0.0,0.0,0.0,0.0,17.985,,
2094,0.0,0.0,0.0,0.0,0.0,0.0,,
2095,0.0,514.36,79.96600000000001,178.98999999999998,0.0,378.62,,
2096,0.0,371.61,0.19972,5.9058,0.0,604.8000000000001,,
2097,0.0,251.88,143.3,539.1,0.0,484.8299999999999,,
2098,0.0,1786.8999999999999,829.26,626.22,7.6579999999999995,1071.1999999999998,,
2099,0.0,1277.6,571.49,1278.1000000000001,0.0,1067.7,,
