"","x"
"Obj","Environment"
"GFDL.q100.location","5293.09471650482"
"GFDL.q100.90LB","2692.49361465269"
"GFDL.q100.90UB","5792.63982313627"
"GFDL.q500.location","7720.63692247819"
"GFDL.q500.90LB","3932.00785586515"
"GFDL.q500.90UB","10579.2555053353"
"CCSM.q100.location","10141.4117088994"
"CCSM.q100.90LB","5369.91299835105"
"CCSM.q100.90UB","11978.2730805006"
"CCSM.q500.location","18602.2796380626"
"CCSM.q500.90LB","9231.78493255071"
"CCSM.q500.90UB","28409.4096820751"
