,Hydropower,Environment,Recession,Sugar,Cotton,Uncontrolled,Year,Dummy
2057,16.743000000000002,1166.8999999999999,416.3,835.4,0.0,1112.1,,
2058,119.444,843.3000000000001,391.91999999999996,364.84000000000003,0.0,1334.8,,
2059,851.0999999999999,2087.4,1643.6999999999998,1560.2,0.0,2041.0,,
2060,212.731,1323.8,584.9300000000001,565.18,0.0,784.3,,
2061,1349.5,2355.2999999999997,2399.0,2430.6000000000004,0.0,2389.4000000000005,,
2062,262.197,983.1999999999999,494.4,0.0,0.0,733.54,,
2063,0.0,561.9,140.436,80.51,0.0,289.67999999999995,,
2064,530.62,781.1700000000001,242.26,468.97,0.0,1416.1000000000001,,
2065,2648.8,1849.1,1590.8999999999999,1508.3,0.0,2828.7999999999997,,
2066,1249.7999999999997,1506.0,872.17,510.4200000000001,0.0,843.9000000000001,,
2067,1006.9,1876.4999999999998,982.83,1705.1000000000001,0.0,2150.6,,
2068,2242.7000000000003,2085.4,1160.7,1484.0,0.0,2693.0,,
2069,1165.3999999999999,1357.6,870.7,1188.1,0.0,2045.5,,
2070,1814.3999999999999,1528.9,1239.6,868.8,0.0,1469.5,,
2071,641.1199999999999,948.6999999999999,620.9699999999999,542.13,0.0,1131.1,,
2072,1419.6999999999998,1637.0,832.51,1569.4,0.0,1992.7000000000003,,
2073,3610.9,3059.6,3411.6000000000004,5535.5,0.0,3923.6,,
2074,1090.1,1292.3,544.9399999999999,67.42,0.0,1290.8,,
2075,903.5,1683.8,1389.6000000000001,1874.4999999999998,0.0,1938.8000000000002,,
2076,2521.8,2760.4,995.9,3728.4,0.0,2808.6,,
2077,1883.3000000000002,2318.2000000000003,2211.2000000000003,119.26079999999999,0.0,2428.3,,
2078,340.86,1192.8000000000002,409.05,1.0859999999999999,0.0,902.3,,
2079,59.89,1466.0,630.13,1686.0,0.0,1164.3999999999999,,
2080,1146.2,1063.1000000000001,597.61,2405.7999999999997,0.0,2182.6000000000004,,
2081,2424.2000000000003,2452.8,1749.9999999999998,352.31600000000003,0.0,1785.8999999999999,,
2082,936.7,1649.4999999999995,646.8499999999999,968.5,0.0,1757.6000000000001,,
2083,2229.1,1770.5,1174.7,2564.0,0.0,2719.4,,
2084,622.7199999999999,1268.2,513.21,1166.3,0.0,1687.6000000000001,,
2085,1674.1000000000001,2062.6,1082.5000000000002,1399.4,0.0,2322.6,,
2086,1424.9999999999998,2089.8,882.1400000000001,1596.3999999999999,0.0,1811.0,,
2087,3063.9,3992.8,3390.9,4167.099999999999,0.0,3678.7999999999997,,
2088,3227.7999999999997,3743.5,3161.9,5220.400000000001,0.0,3665.0,,
2089,3368.0,4076.5,3262.7999999999997,3954.8999999999996,0.0,3586.1,,
2090,2827.1,3093.0999999999995,1296.4,1802.1000000000001,0.0,2952.4,,
2091,1933.4,2569.1,946.4699999999998,2718.7,0.0,2751.6,,
2092,1074.1,1728.9999999999998,769.3900000000001,914.72,0.0,1155.0,,
2093,1760.7,1918.4,1420.0,1377.9,0.0,2402.2000000000003,,
2094,2690.6000000000004,3080.6000000000004,1745.6,2848.0,0.0,3133.7,,
2095,2882.9,2335.7000000000003,2214.3,917.7,0.0,3196.3,,
2096,1626.5,2354.7,673.6199999999999,1716.8,0.0,1983.6,,
2097,2090.1000000000004,2378.2000000000003,1779.1999999999998,3888.0999999999995,0.0,2479.1,,
2098,932.6999999999998,2306.5,982.6,764.6,0.0,1859.1999999999998,,
2099,134.36200000000002,1419.8,661.3000000000001,1236.1,0.0,1312.6,,
